KEY: Mandatory(M)/Optional(X)/Conditional mandatory(C),,,,
Attributes,Description,Additional information,Examples,Mandatory/Optional/ Conditional Mandatory
,,,,
Study Design,"Provide study design information - whether it is longitudinal study, information on number of samples etc","Observational (Case-Control, Cohort, Cross-sectional survey, etc.) or Experimental (Randomized controlled trial, Non-randomized controlled trial, etc.). For a brief description of common study designs see: DOI: 10.11613/BM.2014.022

If applicable, describe any blinding (e.g. single or double-blinding) used in the course of the study.","Observational Model:Cohort
Time Perspective:Prospective",M
Sequencing methods,State the strategy used for metagenomic classification.,,"targeted 16S by qPCR or sequencing, shotgun metagenomics, metatranscriptomics",M
Specimens,Describe body site(s) studied.,,"vaginal, rectal ",M
Background and Rationale,"Summarize the underlying background, scientific evidence, or theory driving the current hypothesis as well as the study objectives.",,"More than 1.5 million HIV-infected women become pregnant each year. Approximately half have access to antiretroviral therapy (ART), but all are at increased risk of PTB. Injectable 17-alpha hydroxyprogesterone caproate (17P) is a promising, low-cost intervention to prevent PTB that should be studied in this population.",M
Hypotheses,"State the pre-specified hypothesis. If the study is exploratory, state any pre-specified study objectives.",,Hormonal fluctuations affect the diversity and composition of the vaginal microbiota,X
Participants,"State what the population of interest is, and the method by which participants are sampled from that population. Include relevant information on physiological state of the subjects or stage in the life history of disease under study when participants were sampled.","Examples of the population of interest could be: adults with no chronic health conditions, adults with type II diabetes, newborns, etc. This is the total population to whom the study is hoped to be generalizable to. The sampling method describes how potential participants were selected from that population.

If the participants are from a substudy of a larger study, provide a brief description of that study and cite that study.

Clearly state how cases and controls are defined.

An example of relevant physiological state might be pre/post menopausal for a vaginal microbiome study; examples of stage in the life history of disease could be whether specimens were collected during active or dormant disease, or before or after treatment.", Pre-menopausal women aged 30-45 years.,M
Geographic location,State the geographic region(s) where participants were sampled from.,"MIxS: geographic location (country and/or sea,region)","Multiple clinics in urban areas of the Zambia, Bangladesh and etc",M
Relevant Dates,State the start and end dates for the study,, Study conducted from November 2022 to November 2025,M
Eligibility criteria,List any criteria for inclusion and exclusion of recruited participants.,"Among potential recruited participants, how were some chosen and others not? This could include criteria such as sex, diet, age, health status, or BMI.

If there is a primary and validation sample, describe inclusion/exclusion criteria for each.","Inclusion Criteria:
Pregnant women ≥15 years will be eligible to participate. Additionally, participants will:
1. Have a completed screening ultrasound with gestational age < 20 weeks
2. Be HIV-uninfected at enrollment (NB: prior to Protocol Version 4.0 [3 Nov 2017] enrolled both HIV-infected and uninfected women)
3. Have a singleton or twin pregnancy with fetal heart tones confirmed by ultrasound
4. Reside within Lusaka with no plans to relocate during the study follow-up period
5. Be willing to provide written, informed consent
6. Be willing to allow their infants to participate in the study


Exclusion criteria:
1. Pregnant women > 24 weeks' gestation or with screening ultrasound ≥ 16 weeks
2. Infants born to women not enrolled in the study""",M
Antibiotics/Drugs Usage,List what is known about usage of drugs before or during sample collection.,"If participants were excluded due to current or recent antibiotics usage, state this here.

Other factors (e.g. proton pump inhibitors, probiotics, etc.) that may influence the microbiome should also be described as well.","• Vaginal antibiotic: 0.75% metronidazole vaginal gel (Graceway Pharmaceuticals, Bristol, TN, USA)
• Vaginal probiotic: Ecologic Femi vaginal capsule (Winclove Probiotics, Amsterdam, The Netherlands)
• Vaginal probiotic: Gynophilus vaginal tablet (Probionov, Clermont- Ferrand, France)",X
Analytic sample size,"Explain how the final analytic sample size was calculated, including the number of cases and controls if relevant, and reasons for dropout at each stage of the study. This should include the number of individuals in whom microbiome sequencing was attempted and the number in whom microbiome sequencing was successful.","Consider use of a flow diagram (see template at https://stormsmicrobiome.org/figures). Also state sample size in abstract.

If power analysis was used to calculate sample size, describe those calculations.",,X
Longitudinal Studies,"For longitudinal studies, state how many follow-ups were conducted, describe sample size at follow-up by group or condition, and discuss any loss to follow-up.","If there is loss to follow-up, discuss the likelihood that drop-out is associated with exposures, treatments, or outcomes of interest.",Samples self-collected daily for 10 weeks.,X
Matching,"For matched studies, give matching criteria.","""""Matched"""" refers to matching between comparable study participants as cases and controls or exposed / unexposed.

Indicate whether participants were individual or frequency matched and in what ratio were they matched (e.g. 1 case to 1 control).",Cases matched to controls on gestational age at enrollment,X
Ethics,"State the name of the institutional review board that approved the study and protocols, protocol number and date of approval, and procedures for obtaining informed consent from participants.",,Study approved by the Institutional Review Board (IRB),M
Laboratory methods,State the laboratory/center where laboratory work was done.,Provide a reference to complete lab protocols if previously published elsewhere such as on protocols.io. Note any modifications of lab protocols and the reason for protocol modifications.,"Microbiome analyses conducted at the University of Maryland Institute for Genome Sciences using the protocol described in: https://doi.org/10.1128/msystems.00029-19
 ",M
Specimen collection,State the body site(s) sampled from and how specimens were collected.,Use terms from the Uber-anatomy Ontology (https://www.ebi.ac.uk/ols/ontologies/uberon) to describe body sites in a standardized format.,UBERON:0000996,M
Shipping,Describe how samples were stored and shipped to the laboratory.,Include length of time from collection to receipt by the lab and if temperature control was used during shipping.,shipped on dry ice for preservation,X
Storage,"Describe how the laboratory stored samples, including time between collection and storage and any preservation buffers or refrigeration used.","State where each procedure or lot of samples was done if not all in the same place.

Include reagent/lot/catalogue #s for storage buffers.",Vaginal samples were frozen at -80oc for long term storage.,X
DNA extraction,"Provide DNA extraction method, including kit and version if relevant.","If any DNA quantification methods were used prior to DNA amplification or at the pooling step of library preparation, state so here.","Used the QIAamp DNA Mini Kit (Qiagen, Valencia, CA) to extract DNA from self-collected vaginal swabs.",X
Human DNA sequence depletion or microbial DNA enrichment,Describe whether human DNA sequence depletion or enrichment of microbial or viral DNA was performed.,,Yes/No,M
Primer selection,Provide primer selection and DNA amplification methods as well as variable region sequenced (if applicable).,,"Primer set: 515F/806R

The PCR amplification conditions:  (384-well thermocycler): 94°C for 3 min; 35 cycles of 94°C for 45 s, 50°C for 60 s, and 72°C for 90s; 72°C for 10 min, and then a 4°C hold. Resulting amplicons were cleaned, pooled, and quantified using the Quant-iT picogreen double-stranded DNA assay kit following EMP benchmarked protocols

Target: V4 region of 16S rRNA gene",X
Positive Controls,Describe any positive controls (mock communities) if used.,"If used, should be deposited under guidance provided in the 8.X items.",Positive controls included included ZymoBIOMICS community standard and a pooled vaginal swab specimen.,M
Negative Controls,Describe any negative controls if used.,"If used, should be deposited under guidance provided in the 8.X items.",Blank extractions were performed and sequenced as negative controls.,M
Contaminant mitigation and identification,"Provide any laboratory or computational methods used to control for or identify microbiome contamination from the environment, reagents, or laboratory.","Includes filtering of reagents and other steps to minimize contamination. It is relevant to state whether the specimens of interest have low microbial load, which makes contamination especially relevant.",Contaminant mitigation and identification: UV-irradiated and filtered reagents and consumables. Blank samples at each step. Quality control and error correction of sequencing data. SourceTracker to identify and quantify contamination sources,X
Replication,"Describe any biological or technical replicates included in the sequencing, including which steps were replicated between them.","Replication may be biological (redundant biological specimens) or technical (aliquots taken at different stages of analysis) and used in extraction, sequencing, preprocessing, and/or data analysis.", 20 biological replicates per group (healthy and BV). Two technical replicates per sample,X
Sequencing strategy,"Major divisions of strategy, such as shotgun or amplicon sequencing.","For amplicon sequencing (for example, 16S variable region), state the region selected. State the model of sequencer used.",Amplicon sequencing of V3-V4 region of 16S rRNA gene on Illumina MiSeq,M
Sequencing methods,"State whether experimental quantification was used (QMP/cell count based, spike-in based) or whether relative abundance methods were applied.","These include read length, sequencing depth per sample (average and minimum), whether reads are paired, and other parameters.","Cell count-based quantification. Illumina MiSeq, V3-V4 16S rRNA, paired-end, 300 bp, 50K (30K min) reads/sample.",M
